Vanderpump Rules,BRAVO,93977,91099,0.0306245145
Pioneer Woman,FOOD,149141,156322,-0.048149067
Vanderpump Rules,BRAVO,92229,88510,0.0403235425
Lab Rats,DISNEYXD,89881,88950,0.0103581402
Keeping Up with the Kardashians,E!,141118,141476,-0.002536884
Bella and the Bulldogs,TEENNCK,47735,48768,-0.0216403059
Teen Mom 2,MTV,108955,107028,0.0176862007
Bella and the Bulldogs,TEENNCK,52274,50599,0.0320426981
PAW Patrol,NICK,525614,525632,-3.42456631672672E-05
Long Island Medium,TLC,216762,209539,0.0333222613
Gravity Falls,DISNEYXD,91740,91984,-0.0026596904
Long Island Medium,TLC,249794,242014,0.031145664
Beyblade Burst,DISNEYXD,72792,73161,-0.0050692384
Vanderpump Rules,BRAVO,135743,131978,0.0277362369
Milo Murphy's Law,DISNEYXD,121661,122049,-0.0031891896
Walk the Prank,DISNEYXD,115495,116735,-0.0107363955
Say Yes to the Dress,TLC,303231,293342,0.032612101
Fatal Attraction,TVONE,96612,86607,0.1035585642
Henry Danger,NICK,1063678,1016818,0.0440546857
Teen Mom 2,MTV,180914,179754,0.0064118863
Say Yes to the Dress,TLC,320314,313670,0.0207421468
Keeping Up with the Kardashians,E!,263041,291410,-0.107850107
Baby Boy,BET,218281,221300,-0.0138307961
Fatal Attraction,TVONE,116291,102954,0.1146864332
Fatal Attraction,TVONE,116291,119712,-0.0294175818
Keeping Up with the Kardashians,E!,305826,287164,0.0610216267
Fatal Attraction,TVONE,129999,122750,0.0557619674
Milo Murphy's Law,DISNEYXD,164717,160029,0.028460936
Walk the Prank,DISNEYXD,152089,150629,0.0095996423
Lab Rats,DISNEYXD,160820,157545,0.0203643825
Boy Meets World,TEENNCK,111763,103285,0.0758569473
Sweet Home Oklahoma,BRAVO,561288,548206,0.0233071079
All That,TEENNCK,91572,87569,0.0437142358
Extreme Weight Loss,TLC,280123,280456,-0.0011887635
Keeping Up with the Kardashians,E!,293227,292286,0.0032091179
Milo Murphy's Law,DISNEYXD,142295,141421,0.0061421694
Sweet Home Oklahoma,BRAVO,478450,443298,0.0734705821
Walk the Prank,DISNEYXD,126635,130132,-0.0276147984
Addicted,BET,226807,209184,0.0777004237
Teen Mom 2,MTV,305041,359530,-0.1786284467
Vanderpump Rules,BRAVO,310827,299015,0.0380018467
CSI: Miami,WeTV,174865,154494,0.1164955823
Sweet Home Oklahoma,BRAVO,192314,185998,0.0328421228
Martin,BET,154557,155319,-0.0049302199
Teen Mom 2,MTV,222155,223334,-0.0053071054
Fresh Prince of Bel-Air,NICK,396676,380757,0.0401309885
Fatal Attraction,TVONE,109910,109367,0.0049404058
Rugrats,TEENNCK,61646,58014,0.0589170425
Extreme Weight Loss,TLC,128843,107227,0.1677700768
The Jeffersons,TVONE,79115,79061,0.0006825507
The Wendy Williams Show,BET,150800,126102,0.1637798408
Milo Murphy's Law,DISNEYXD,92721,93223,-0.0054140917
Keeping Up with the Kardashians,E!,103233,103690,-0.004426879
The Real Housewives of New York City,BRAVO,136879,128052,0.0644876131
Keeping Up with the Kardashians,E!,104246,100741,0.0336223932
Keeping Up with the Kardashians,E!,94747,90226,0.0477165504
Pioneer Woman,FOOD,150009,179125,-0.194095021
Bella and the Bulldogs,TEENNCK,47751,45925,0.0382400369
Keeping Up with the Kardashians,E!,105427,102921,0.023770002
Bubble Guppies,NICK,455205,457922,-0.0059687394
Bubble Guppies,NICK,457962,449473,0.0185364725
Keeping Up with the Kardashians,E!,112120,111219,0.0080360328
